number,genus,metabolism,treatment,rep,run1,run2,seconds,O2_mM,HCO3,HCO3_mM,CO2_mM,DIC_mM,CO2_12_mM,CO2_13_mM,salinity,temperature,pH,K1a,K2a,K1b,K2b,K1,K2,H,K1_HCO3,K2_HCO3
1,Hymenena,nonccm,High,1,Dark1,Dark,165,10.23,21.06,418.2,22.21,440.41,21.58,0.63,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
2,Hymenena,nonccm,High,1,Dark1,Dark,179,10,21.02,417.36,22.16,439.52,21.56,0.61,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
3,Hymenena,nonccm,High,1,Dark1,Dark,192,10.03,21,416.94,22.14,439.08,21.53,0.61,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
4,Hymenena,nonccm,High,1,Dark1,Dark,206,9.75,20.56,408.25,21.68,429.93,21.05,0.63,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
5,Hymenena,nonccm,High,1,Dark1,Dark,219,9.83,21,417.06,22.15,439.21,21.47,0.68,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
6,Hymenena,nonccm,High,1,Dark1,Dark,233,9.84,20.69,410.82,21.82,432.63,21.2,0.62,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
7,Hymenena,nonccm,High,1,Dark1,Dark,247,9.51,20.83,413.68,21.97,435.65,21.36,0.61,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
8,Hymenena,nonccm,High,1,Dark1,Dark,261,9.9,21.35,424,22.52,446.52,21.89,0.62,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
9,Hymenena,nonccm,High,1,Dark1,Dark,275,10.18,21.11,419.11,22.26,441.37,21.62,0.64,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
10,Hymenena,nonccm,High,1,Dark1,Dark,289,9.74,21.07,418.26,22.21,440.47,21.57,0.64,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
11,Hymenena,nonccm,High,1,Dark1,Dark,303,9.76,21.1,418.9,22.25,441.14,21.61,0.64,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
12,Hymenena,nonccm,High,1,Dark1,Dark,316,9.87,20.96,416.1,22.1,438.19,21.51,0.58,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
13,Hymenena,nonccm,High,1,Dark1,Dark,330,10.01,20.91,415.1,22.04,437.15,21.45,0.59,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
14,Hymenena,nonccm,High,1,Dark1,Dark,343,9.95,21.13,419.61,22.28,441.89,21.66,0.62,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
15,Hymenena,nonccm,High,1,Dark1,Dark,357,9.63,20.87,414.48,22.01,436.5,21.41,0.6,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
16,Hymenena,nonccm,High,1,Dark1,Dark,371,9.55,20.98,416.59,22.12,438.72,21.49,0.63,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
17,Hymenena,nonccm,High,1,Dark1,Dark,385,9.65,21.04,417.77,22.19,439.96,21.59,0.6,31,12,7.81,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.55E-08,1.93E-02,3.38E-02
18,Hymenena,nonccm,High,1,Dark2,Dark,220,11.01,16.92,324.67,17.9,342.57,17.42,0.48,31,12,7.86,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.38E-08,1.72E-02,3.79E-02
19,Hymenena,nonccm,High,1,Dark2,Dark,234,11.35,16.81,322.51,17.78,340.29,17.3,0.48,31,12,7.86,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.38E-08,1.72E-02,3.79E-02
20,Hymenena,nonccm,High,1,Dark2,Dark,248,10.95,16.87,323.57,17.84,341.41,17.34,0.5,31,12,7.86,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.38E-08,1.72E-02,3.79E-02
21,Hymenena,nonccm,High,1,Dark2,Dark,262,11.15,17.07,327.41,18.05,345.46,17.56,0.49,31,12,7.86,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.38E-08,1.72E-02,3.79E-02
22,Hymenena,nonccm,High,1,Dark2,Dark,275,11.42,17.06,329.81,18.03,347.84,17.55,0.48,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
23,Hymenena,nonccm,High,1,Dark2,Dark,289,11.13,16.96,327.84,17.92,345.76,17.39,0.53,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
24,Hymenena,nonccm,High,1,Dark2,Dark,302,11,17.04,329.38,18.01,347.39,17.5,0.5,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
25,Hymenena,nonccm,High,1,Dark2,Dark,315,11,17.15,331.53,18.12,349.65,17.62,0.5,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
26,Hymenena,nonccm,High,1,Dark2,Dark,328,10.59,17.07,330.09,18.05,348.14,17.53,0.52,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
27,Hymenena,nonccm,High,1,Dark2,Dark,342,10.89,17.15,331.53,18.12,349.66,17.62,0.51,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
28,Hymenena,nonccm,High,1,Dark2,Dark,355,10.85,17.3,334.47,18.29,352.75,17.76,0.53,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
29,Hymenena,nonccm,High,1,Dark2,Dark,369,11.02,17.19,332.33,18.17,350.5,17.63,0.54,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
30,Hymenena,nonccm,High,1,Dark2,Dark,382,10.97,17.3,334.38,18.28,352.66,17.79,0.5,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
31,Hymenena,nonccm,High,1,Dark2,Dark,396,10.99,17.3,334.52,18.29,352.81,17.77,0.52,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
32,Hymenena,nonccm,High,1,Dark2,Dark,410,10.89,17.25,333.53,18.23,351.77,17.74,0.5,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
33,Hymenena,nonccm,High,1,Dark2,Dark,423,10.93,17.51,338.6,18.51,357.11,17.96,0.55,31,12,7.85,8.18E-07,5.72E-10,7.88E-07,4.76E-10,8.03E-07,5.24E-10,1.41E-08,1.76E-02,3.71E-02
