number,genus,rep,enzyme_location,metabolism,treatment,dryweight_g,sample_pH_start,sample_pH_end,sample_pH_change,sample_runtime_sec_total,sample_runtime_sec_0.4_pHunits,sample_pH_units_persecond,blank_pH_start,blank_pH_end,blank_pH_change,blank_runtime_sec_total,blank_runtime_sec_0.4_pHunits,blank_pH_units_persecond
114,Hymenena,1,CA,nonccm,High,,,,,,,,,,,,,
146,Hymenena,2,CA,nonccm,High,,,,,,,,,,,,,
18,Hymenena,3,CA,nonccm,High,0.0198,7.86,7.46,0.40,46,46.00,0.0087,8.11,7.71,0.40,141,141.00,0.0028
50,Hymenena,4,CA,nonccm,High,0.0167,7.94,7.54,0.40,74,74.00,0.0054,7.98,7.58,0.40,141,141.00,0.0028
82,Hymenena,5,CA,nonccm,High,0.0124,7.99,7.59,0.40,70,70.00,0.0057,8.04,7.64,0.40,131,131.00,0.0031
116,Hymenena,1,eCA,nonccm,High,,,,,,,,,,,,,
148,Hymenena,2,eCA,nonccm,High,,,,,,,,,,,,,
20,Hymenena,3,eCA,nonccm,High,0.0362,7.91,7.51,0.40,86,86.00,0.0047,8.03,7.63,0.40,120,120.00,0.0033
52,Hymenena,4,eCA,nonccm,High,0.0330,8.02,7.62,0.40,100,100.00,0.0040,8.02,7.62,0.40,130,130.00,0.0031
84,Hymenena,5,eCA,nonccm,High,0.0312,8.02,7.62,0.40,109,109.00,0.0037,8.03,7.63,0.40,120,120.00,0.0033
113,Hymenena,1,CA,nonccm,Low,,,,,,,,,,,,,
145,Hymenena,2,CA,nonccm,Low,,,,,,,,,,,,,
17,Hymenena,3,CA,nonccm,Low,0.0181,7.92,7.52,0.40,80,80.00,0.0050,8.11,7.71,0.40,126,126.00,0.0032
49,Hymenena,4,CA,nonccm,Low,0.0212,8.00,7.60,0.40,102,102.00,0.0039,8.04,7.64,0.40,136,136.00,0.0029
81,Hymenena,5,CA,nonccm,Low,0.0210,7.97,7.57,0.40,87,87.00,0.0046,8.06,7.66,0.40,136,136.00,0.0029
115,Hymenena,1,eCA,nonccm,Low,,,,,,,,,,,,,
147,Hymenena,2,eCA,nonccm,Low,,,,,,,,,,,,,
19,Hymenena,3,eCA,nonccm,Low,0.0315,7.80,7.39,0.41,57,55.61,0.0072,7.96,7.49,0.47,128,108.94,0.0037
51,Hymenena,4,eCA,nonccm,Low,0.0272,8.03,7.63,0.40,106,106.00,0.0038,8.02,7.62,0.40,133,133.00,0.0030
83,Hymenena,5,eCA,nonccm,Low,0.0353,8.01,7.59,0.42,111,105.71,0.0038,8.01,7.61,0.40,131,131.00,0.0031
98,Odonthalia,1,CA,ccm,High,,,,,,,,,,,,,
130,Odonthalia,2,CA,ccm,High,,,,,,,,,,,,,
2,Odonthalia,3,CA,ccm,High,0.0188,7.99,7.59,0.40,115,115.00,0.0035,8.11,7.71,0.40,143,143.00,0.0028
34,Odonthalia,4,CA,ccm,High,0.0252,7.96,7.56,0.40,92,92.00,0.0043,8.01,7.61,0.40,120,120.00,0.0033
66,Odonthalia,5,CA,ccm,High,0.0182,8.07,7.67,0.40,154,154.00,0.0026,8.10,7.70,0.40,162,162.00,0.0025
100,Odonthalia,1,eCA,ccm,High,,,,,,,,,,,,,
132,Odonthalia,2,eCA,ccm,High,,,,,,,,,,,,,
4,Odonthalia,3,eCA,ccm,High,0.0194,7.87,7.47,0.40,96,96.00,0.0042,8.08,7.68,0.40,123,123.00,0.0033
36,Odonthalia,4,eCA,ccm,High,0.0354,8.01,7.61,0.40,109,109.00,0.0037,8.18,7.88,0.30,121,161.33,0.0025
68,Odonthalia,5,eCA,ccm,High,0.0215,8.03,7.63,0.40,123,123.00,0.0033,8.01,7.61,0.40,139,139.00,0.0029
97,Odonthalia,1,CA,ccm,Low,,,,,,,,,,,,,
129,Odonthalia,2,CA,ccm,Low,,,,,,,,,,,,,
1,Odonthalia,3,CA,ccm,Low,0.0150,7.98,7.58,0.40,103,103.00,0.0039,8.10,7.70,0.40,131,131.00,0.0031
33,Odonthalia,4,CA,ccm,Low,0.0159,7.97,7.57,0.40,85,85.00,0.0047,8.02,7.62,0.40,129,129.00,0.0031
65,Odonthalia,5,CA,ccm,Low,0.0099,8.06,7.66,0.40,133,133.00,0.0030,8.06,7.66,0.40,139,139.00,0.0029
99,Odonthalia,1,eCA,ccm,Low,,,,,,,,,,,,,
131,Odonthalia,2,eCA,ccm,Low,,,,,,,,,,,,,
3,Odonthalia,3,eCA,ccm,Low,0.0151,7.93,7.53,0.40,107,107.00,0.0037,7.96,7.56,0.40,147,147.00,0.0027
35,Odonthalia,4,eCA,ccm,Low,0.0239,8.04,7.64,0.40,125,125.00,0.0032,8.14,7.74,0.40,137,137.00,0.0029
67,Odonthalia,5,eCA,ccm,Low,0.0228,8.06,7.66,0.40,120,120.00,0.0033,8.00,7.60,0.40,128,128.00,0.0031
118,Opuntiella,1,CA,nonccm,High,,,,,,,,,,,,,
150,Opuntiella,2,CA,nonccm,High,,,,,,,,,,,,,
22,Opuntiella,3,CA,nonccm,High,0.0358,7.21,6.80,0.41,12,11.71,0.0342,7.98,7.58,0.40,113,113.00,0.0035
54,Opuntiella,4,CA,nonccm,High,0.0151,7.90,7.49,0.41,62,60.49,0.0066,8.06,7.66,0.40,134,134.00,0.0030
86,Opuntiella,5,CA,nonccm,High,0.0392,7.93,7.52,0.41,28,27.32,0.0146,8.07,7.67,0.40,135,135.00,0.0030
120,Opuntiella,1,eCA,nonccm,High,,,,,,,,,,,,,
152,Opuntiella,2,eCA,nonccm,High,,,,,,,,,,,,,
24,Opuntiella,3,eCA,nonccm,High,0.0335,7.82,7.42,0.40,48,48.00,0.0083,8.03,7.63,0.40,132,132.00,0.0030
56,Opuntiella,4,eCA,nonccm,High,0.0282,8.04,7.64,0.40,89,89.00,0.0045,8.14,7.74,0.40,134,134.00,0.0030
88,Opuntiella,5,eCA,nonccm,High,0.0244,8.07,7.67,0.40,97,97.00,0.0041,8.01,7.61,0.40,130,130.00,0.0031
117,Opuntiella,1,CA,nonccm,Low,,,,,,,,,,,,,
149,Opuntiella,2,CA,nonccm,Low,,,,,,,,,,,,,
21,Opuntiella,3,CA,nonccm,Low,0.0202,7.85,7.44,0.41,32,31.22,0.0128,8.07,7.67,0.40,124,124.00,0.0032
53,Opuntiella,4,CA,nonccm,Low,0.0208,7.71,7.24,0.47,31,26.38,0.0216,8.08,7.68,0.40,141,141.00,0.0028
85,Opuntiella,5,CA,nonccm,Low,0.0362,7.62,7.22,0.40,28,28.00,0.0500,8.11,7.71,0.40,134,134.00,0.0030
119,Opuntiella,1,eCA,nonccm,Low,,,,,,,,,,,,,
151,Opuntiella,2,eCA,nonccm,Low,,,,,,,,,,,,,
23,Opuntiella,3,eCA,nonccm,Low,0.0299,7.84,7.44,0.40,81,81.00,0.0049,8.09,7.69,0.40,131,131.00,0.0031
55,Opuntiella,4,eCA,nonccm,Low,0.0164,8.05,7.64,0.41,107,104.39,0.0038,8.16,7.76,0.40,149,149.00,0.0027
87,Opuntiella,5,eCA,nonccm,Low,0.0525,8.07,7.67,0.40,108,108.00,0.0037,8.02,7.62,0.40,122,122.00,0.0033
102,Osmundea,1,CA,ccm,High,,,,,,,,,,,,,
134,Osmundea,2,CA,ccm,High,,,,,,,,,,,,,
6,Osmundea,3,CA,ccm,High,0.0082,8.01,7.61,0.40,120,120.00,0.0033,8.11,7.71,0.40,136,136.00,0.0029
38,Osmundea,4,CA,ccm,High,0.0125,8.03,7.63,0.40,105,105.00,0.0038,8.02,7.62,0.40,116,116.00,0.0034
70,Osmundea,5,CA,ccm,High,0.0218,8.02,7.62,0.40,111,111.00,0.0036,8.05,7.65,0.40,138,138.00,0.0029
104,Osmundea,1,eCA,ccm,High,,,,,,,,,,,,,
136,Osmundea,2,eCA,ccm,High,,,,,,,,,,,,,
8,Osmundea,3,eCA,ccm,High,0.0200,8.00,7.60,0.40,119,119.00,0.0034,8.01,7.61,0.40,114,114.00,0.0035
40,Osmundea,4,eCA,ccm,High,0.0234,8.09,7.69,0.40,128,128.00,0.0031,8.15,7.75,0.40,135,135.00,0.0030
72,Osmundea,5,eCA,ccm,High,0.0315,8.08,7.68,0.40,108,108.00,0.0037,8.01,7.61,0.40,149,149.00,0.0027
101,Osmundea,1,CA,ccm,Low,,,,,,,,,,,,,
133,Osmundea,2,CA,ccm,Low,,,,,,,,,,,,,
5,Osmundea,3,CA,ccm,Low,0.0188,8.01,7.61,0.40,120,120.00,0.0033,8.11,7.71,0.40,141,141.00,0.0028
37,Osmundea,4,CA,ccm,Low,0.0089,8.02,7.62,0.40,90,90.00,0.0044,8.09,7.69,0.40,119,119.00,0.0034
69,Osmundea,5,CA,ccm,Low,0.0097,8.05,7.65,0.40,103,103.00,0.0039,8.01,7.61,0.40,124,124.00,0.0032
103,Osmundea,1,eCA,ccm,Low,,,,,,,,,,,,,
135,Osmundea,2,eCA,ccm,Low,,,,,,,,,,,,,
7,Osmundea,3,eCA,ccm,Low,0.0130,7.96,7.56,0.40,124,124.00,0.0032,8.02,7.62,0.40,124,124.00,0.0032
39,Osmundea,4,eCA,ccm,Low,0.0115,8.07,7.65,0.42,118,112.38,0.0036,8.15,7.75,0.40,131,131.00,0.0031
71,Osmundea,5,eCA,ccm,Low,0.0203,8.08,7.68,0.40,122,122.00,0.0033,8.02,7.62,0.40,125,125.00,0.0032
122,Plocamium,1,CA,nonccm,High,,,,,,,,,,,,,
154,Plocamium,2,CA,nonccm,High,,,,,,,,,,,,,
26,Plocamium,3,CA,nonccm,High,0.0122,7.98,7.58,0.40,75,75.00,0.0053,8.06,7.66,0.40,110,110.00,0.0036
58,Plocamium,4,CA,nonccm,High,0.0122,7.76,7.33,0.43,44,40.93,0.0098,8.05,7.65,0.40,117,117.00,0.0034
90,Plocamium,5,CA,nonccm,High,0.0164,8.04,7.74,0.30,70,93.33,0.0043,8.06,7.66,0.40,132,132.00,0.0030
124,Plocamium,1,eCA,nonccm,High,,,,,,,,,,,,,
156,Plocamium,2,eCA,nonccm,High,,,,,,,,,,,,,
28,Plocamium,3,eCA,nonccm,High,0.0144,7.94,7.54,0.40,102,102.00,0.0039,8.05,7.65,0.40,118,118.00,0.0034
60,Plocamium,4,eCA,nonccm,High,0.0128,8.05,7.65,0.40,117,117.00,0.0034,8.11,7.71,0.40,146,146.00,0.0027
92,Plocamium,5,eCA,nonccm,High,0.0167,8.08,7.68,0.40,127,127.00,0.0031,8.01,7.61,0.40,134,134.00,0.0030
121,Plocamium,1,CA,nonccm,Low,,,,,,,,,,,,,
153,Plocamium,2,CA,nonccm,Low,,,,,,,,,,,,,
25,Plocamium,3,CA,nonccm,Low,0.0152,7.98,7.58,0.40,86,86.00,0.0047,8.15,7.75,0.40,138,138.00,0.0029
57,Plocamium,4,CA,nonccm,Low,0.0175,7.91,7.51,0.40,62,62.00,0.0065,8.03,7.63,0.40,129,129.00,0.0031
89,Plocamium,5,CA,nonccm,Low,0.0133,8.02,7.62,0.40,89,89.00,0.0045,8.02,7.62,0.40,126,126.00,0.0032
123,Plocamium,1,eCA,nonccm,Low,,,,,,,,,,,,,
