treatment,genus,metabolism,rep,solute_volume_red_extraction1,solute_volume_red_extraction2,solute_volume_green_extraction,wetweigh_g,wetdry_conversion,dryweight_g,pigment_pc_ugg,pigment_pe_ugg,pigment_pce_ugg,pigment_apc_ugg,pigment_chla_ugg
High,Odonthalia,ccm,5,5,3,3,0.0706,0.142692659,0.010074102,20.63749948,126.6120994,147.2495988,24.09936302,326.1923172
High,Odonthalia,ccm,4,5,3,3,0.0664,0.142692659,0.009474793,21.93961848,141.5249986,163.4646171,29.5795395,334.7788344
High,Odonthalia,ccm,3,5,3,3,0.0655,0.142692659,0.009346369,25.10350952,138.5286608,163.6321703,28.37536831,323.4817665
High,Odonthalia,ccm,2,5,3,3,0.08,0.142692659,0.011415413,14.86937044,99.7826387,114.6520091,14.34318126,320.3163506
High,Odonthalia,ccm,1,5,3,3,,,,,,,,
Low,Odonthalia,ccm,5,5,3,3,0.0783,0.142692659,0.011172835,23.56966661,156.2897844,179.859451,40.25418137,303.6928361
Low,Odonthalia,ccm,4,5,3,3,0.0834,0.142692659,0.011900568,32.52225794,170.1414627,202.6637206,31.59289052,323.9879044
Low,Odonthalia,ccm,3,5,3,3,0.133,0.142692659,0.018978124,26.05631676,146.0692352,172.125552,37.11466326,194.5490895
Low,Odonthalia,ccm,2,5,3,3,0.0876,0.142692659,0.012499877,20.07859774,110.6650899,130.7436876,17.47003872,366.0337382
Low,Odonthalia,ccm,1,5,3,3,,,,,,,,
High,Osmundea,ccm,5,5,3,3,0.1014,0.088877666,0.009012195,42.35741895,122.1781478,164.5355668,57.82386875,156.9062751
High,Osmundea,ccm,4,5,3,3,0.0708,0.088877666,0.006292539,138.9698765,338.4272629,477.3971394,111.8488675,203.159125
High,Osmundea,ccm,3,5,3,3,0.1094,0.088877666,0.009723217,98.44684465,181.0799925,279.5268372,58.56566675,176.5396569
High,Osmundea,ccm,2,5,3,3,0.0646,0.088877666,0.005741497,80.72807179,194.7296945,275.4577662,49.97883343,197.6336989
High,Osmundea,ccm,1,5,3,3,,,,,,,,
Low,Osmundea,ccm,5,5,3,3,0.0956,0.088877666,0.008496705,64.96636149,176.9995965,241.965958,46.61179513,149.9773563
Low,Osmundea,ccm,4,5,3,3,0.0426,0.088877666,0.003786189,235.0243919,498.4643433,733.4887353,147.1611858,326.2973595
Low,Osmundea,ccm,3,5,3,3,0.055,0.088877666,0.004888272,178.6248255,756.2032036,934.8280291,116.758378,275.3706767
Low,Osmundea,ccm,2,5,3,3,0.106,0.088877666,0.009421033,126.4397847,363.3819646,489.8217494,81.5324639,249.3916291
Low,Osmundea,ccm,1,5,3,3,,,,,,,,
High,Pyropia,ccm,5,5,3,3,0.1109,0.125443611,0.013911696,263.3914849,1306.789281,1570.180765,182.6912714,426.892438
High,Pyropia,ccm,4,5,3,3,0.0904,0.125443611,0.011340102,214.615284,1064.791266,1279.40655,148.8595545,347.8382828
High,Pyropia,ccm,3,5,3,3,0.1027,0.125443611,0.012883059,243.8810046,1209.990075,1453.871079,169.1585846,395.270776
High,Pyropia,ccm,2,5,3,3,0.079,0.125443611,0.009910045,105.1054735,986.6971412,1091.802615,60.68724382,323.4889361
High,Pyropia,ccm,1,5,3,3,,,,,,,,
Low,Pyropia,ccm,5,5,3,3,0.0949,0.125443611,0.011904599,381.4217896,2450.150074,2831.571863,268.3327191,519.152878
Low,Pyropia,ccm,4,5,3,3,0.0975,0.125443611,0.012230752,233.8967643,1458.456512,1692.353276,160.6905819,341.4268103
Low,Pyropia,ccm,3,5,3,3,0.1044,0.125443611,0.013096313,291.4484408,1902.38632,2193.834761,237.6567107,414.6133857
Low,Pyropia,ccm,2,5,3,3,0.054,0.125443611,0.006773955,367.3216021,1836.504673,2203.826275,250.7102575,614.2684254
Low,Pyropia,ccm,1,5,3,3,,,,,,,,
High,Schizymenia,ccm,5,5,3,3,0.0917,0.088407602,0.008106977,281.8118692,1622.496992,1904.308861,190.0367895,388.3661536
High,Schizymenia,ccm,4,5,3,3,0.1006,0.088407602,0.008893805,289.5738539,1479.605808,1769.179662,188.2576359,299.8877749
High,Schizymenia,ccm,3,5,3,3,0.1088,0.088407602,0.009618747,289.3266615,1711.06137,2000.388031,199.7474277,449.8347447
High,Schizymenia,ccm,2,5,3,3,0.0658,0.088407602,0.00581722,266.5350922,1676.823797,1943.358889,182.1053051,415.3759413
High,Schizymenia,ccm,1,5,3,3,,,,,,,,
Low,Schizymenia,ccm,5,5,3,3,0.121,0.088407602,0.01069732,308.5956762,1342.829806,1651.425482,182.8395666,365.1163754
Low,Schizymenia,ccm,4,5,3,3,0.0761,0.088407602,0.006727819,322.8641031,1709.046425,2031.910528,196.6783635,501.6719664
Low,Schizymenia,ccm,3,5,3,3,0.0573,0.088407602,0.005065756,286.7436652,2006.914814,2293.658479,201.0111442,573.4090268
Low,Schizymenia,ccm,2,5,3,3,0.05,0.088407602,0.00442038,373.2529679,1777.394654,2150.647622,206.1843796,566.4904972
Low,Schizymenia,ccm,1,5,3,3,,,,,,,,
High,Hymenena,nonccm,5,5,3,3,0.1088,0.129868989,0.014129746,48.00039119,385.7125257,433.7129169,89.58500297,482.7546101
High,Hymenena,nonccm,4,5,3,3,0.0758,0.129868989,0.009848398,85.1266847,733.6113877,818.7380724,88.75539481,530.2115601
