number,genus,metabolism,treatment,rep,run1,run2,seconds,O2_mM,HCO3_mM,CO2_mM,CO2_12_mM,CO2_13_mM,salinity,temperature,pH
1,Opuntiella,ccm,High,1,Dark1,Dark,138,9.887809863,20.25043218,21.2412917,20.63699909,0.604292604,31,12,7.66
2,Opuntiella,ccm,High,1,Dark1,Dark,152,9.782510782,20.2590179,21.25029479,20.63560191,0.614692877,31,12,7.66
3,Opuntiella,ccm,High,1,Dark1,Dark,165,10.06848491,20.10374668,21.08742649,20.50223449,0.585191994,31,12,7.66
4,Opuntiella,ccm,High,1,Dark1,Dark,178,9.849427464,20.30144878,21.29480429,20.70025335,0.594550936,31,12,7.66
5,Opuntiella,ccm,High,1,Dark1,Dark,191,9.618186137,20.50751635,21.5109534,20.9387905,0.572162894,31,12,7.66
6,Opuntiella,ccm,High,1,Dark1,Dark,205,9.426716045,20.2395366,21.22986293,20.63839627,0.591466652,31,12,7.66
7,Opuntiella,ccm,High,1,Dark1,Dark,219,9.603918995,20.65032953,21.66075504,21.0819382,0.578816848,31,12,7.66
8,Opuntiella,ccm,High,1,Dark1,Dark,232,9.599752485,20.60921832,21.61763236,21.00903067,0.608601688,31,12,7.66
9,Opuntiella,ccm,High,1,Dark1,Dark,246,9.868997437,20.72088118,21.73475833,21.12131334,0.613444993,31,12,7.66
10,Opuntiella,ccm,High,1,Dark1,Dark,259,9.337451716,20.5150824,21.51888994,20.95708089,0.561809052,31,12,7.66
11,Opuntiella,ccm,High,1,Dark1,Dark,273,9.162332021,20.52370626,21.52793651,20.90233674,0.625599768,31,12,7.66
12,Opuntiella,ccm,High,1,Dark1,Dark,287,9.65271767,20.91032705,21.93347328,21.33038264,0.603090636,31,12,7.66
13,Opuntiella,ccm,High,1,Dark1,Dark,301,9.17975561,20.79697688,21.81457725,21.17745467,0.637122585,31,12,7.66
14,Opuntiella,ccm,High,1,Dark1,Dark,315,9.498556785,21.08661428,22.11838741,21.50299818,0.615389223,31,12,7.66
15,Opuntiella,ccm,High,1,Dark1,Dark,329,9.552279517,20.86230878,21.88310563,21.24058191,0.642523714,31,12,7.66
16,Opuntiella,ccm,High,1,Dark1,Dark,343,8.961455716,21.04603199,22.07581951,21.46654442,0.609275089,31,12,7.66
17,Opuntiella,ccm,High,1,Dark1,Dark,357,9.322111382,20.98998813,22.0170325,21.39350988,0.623522615,31,12,7.66
18,Opuntiella,ccm,High,1,Dark1,Dark,371,9.250270642,21.15830179,22.19358254,21.57603272,0.617549817,31,12,7.66
19,Opuntiella,ccm,High,1,Dark1,Dark,384,9.283728983,21.31760141,22.36067536,21.73315224,0.62752312,31,12,7.66
20,Opuntiella,ccm,High,1,Dark1,Dark,398,9.317881743,21.27347455,22.31438953,21.74026517,0.574124362,31,12,7.66
21,Opuntiella,ccm,High,1,Dark1,Dark,411,9.051414463,21.17489402,22.21098622,21.59699046,0.613995764,31,12,7.66
22,Opuntiella,ccm,High,1,Dark1,Dark,425,9.075845365,21.28203306,22.3200701,21.75004544,0.570024656,31,12,7.65
23,Opuntiella,ccm,High,1,Dark1,Dark,439,9.392563285,21.73506716,22.79520052,22.17669416,0.618506363,31,12,7.65
