number,genus,metabolism,treatment,rep,run,seconds,O2_mM,HCO3_mM,CO2_mM,DIC_mM,CO2_12_mM,CO2_13_mM,salinity,temperature,pH,K1a,K2a,K1b,K2b,K1,K2,H,K1_HCO3,K2_HCO3
1,Hymenena,nonccm,High,1,Dark,220,11.01,324.67,17.90,342.57,17.42,0.48,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02
2,Hymenena,nonccm,High,1,Dark,234,11.35,322.51,17.78,340.29,17.30,0.48,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02
3,Hymenena,nonccm,High,1,Dark,248,10.95,323.57,17.84,341.41,17.34,0.50,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02
4,Hymenena,nonccm,High,1,Dark,262,11.15,327.41,18.05,345.46,17.56,0.49,31,12,7.86,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.38E-08,1.72E-02,3.79E-02
5,Hymenena,nonccm,High,1,Dark,275,11.42,329.81,18.03,347.84,17.55,0.48,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
6,Hymenena,nonccm,High,1,Dark,289,11.13,327.84,17.92,345.76,17.39,0.53,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
7,Hymenena,nonccm,High,1,Dark,302,11.00,329.38,18.01,347.39,17.50,0.50,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
8,Hymenena,nonccm,High,1,Dark,315,11.00,331.53,18.12,349.65,17.62,0.50,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
9,Hymenena,nonccm,High,1,Dark,328,10.59,330.09,18.05,348.14,17.53,0.52,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
10,Hymenena,nonccm,High,1,Dark,342,10.89,331.53,18.12,349.66,17.62,0.51,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
11,Hymenena,nonccm,High,1,Dark,355,10.85,334.47,18.29,352.75,17.76,0.53,31,12,7.85,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.03E-07,5.23646E-10,1.41E-08,1.76E-02,3.71E-02
