genus,metabolism,light,replicate,run1,run2,time,seconds,oxygen_mM,carbondioxide_mM,bicarbonate_mM,c12_mM,c13_mM,salinity_ppt,temperature_c,ph,,,,,,,comments,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:51:27,303,9.76,22.25,21.10,21.61,0.64,31,12,7.81,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:51:41,316,9.87,22.10,20.96,21.51,0.58,31,12,7.81,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:51:54,330,10.01,22.04,20.90,21.45,0.59,31,12,7.81,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:52:08,343,9.95,22.28,21.13,21.66,0.62,31,12,7.81,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:52:21,357,9.63,22.01,20.87,21.41,0.60,31,12,7.81,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:52:35,371,9.55,22.12,20.98,21.49,0.63,31,12,7.81,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:52:49,385,9.65,22.19,21.04,21.59,0.60,31,12,7.81,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:53:03,399,10.00,22.34,21.19,21.68,0.67,31,12,7.81,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:53:17,412,9.81,22.35,21.20,21.73,0.62,31,12,7.81,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:53:30,425,9.89,22.22,21.07,21.62,0.60,31,12,7.81,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:53:43,439,9.74,22.49,21.33,21.86,0.62,31,12,7.81,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:53:57,452,10.29,22.51,21.36,21.88,0.63,31,12,7.8,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:54:10,466,9.68,22.45,21.30,21.82,0.63,31,12,7.8,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:54:24,479,9.73,22.81,21.64,22.15,0.66,31,12,7.8,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:54:37,493,10.18,22.31,21.17,21.66,0.65,31,12,7.8,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:54:51,506,10.26,22.50,21.35,21.88,0.62,31,12,7.8,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:55:04,519,10.18,22.65,21.49,22.01,0.63,31,12,7.8,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:55:17,533,10.03,22.62,21.46,21.99,0.62,31,12,7.8,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:55:31,546,10.49,22.60,21.44,21.98,0.62,31,12,7.8,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:55:44,560,10.17,22.75,21.59,22.09,0.66,31,12,7.8,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:55:58,574,10.62,22.60,21.44,22.00,0.60,31,12,7.8,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:56:12,588,10.17,22.86,21.69,22.22,0.64,31,12,7.8,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:56:26,602,9.94,22.64,21.49,22.02,0.62,31,12,7.79,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:56:40,616,10.31,22.91,21.75,22.29,0.62,31,12,7.79,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:56:54,630,9.74,22.79,21.64,22.14,0.65,31,12,7.79,,,,,,,D1 e,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:57:08,644,9.87,22.70,21.55,22.05,0.65,31,12,7.79,,,,,,,D1 end now Hymenena high R1,,,,,
Hymenena,ccm,High,1,Dark1,Dark,17:57:22,658,9.50,22.75,21.60,22.09,0.66,31,12,7.79,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:11:55,220,11.01,17.90,16.92,17.42,0.48,31,12,7.86,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:12:09,234,11.35,17.78,16.81,17.30,0.48,31,12,7.86,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:12:23,248,10.95,17.84,16.87,17.34,0.50,31,12,7.86,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:12:37,262,11.15,18.05,17.07,17.56,0.49,31,12,7.86,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:12:51,275,11.42,18.03,17.06,17.55,0.48,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:13:04,289,11.13,17.92,16.95,17.39,0.53,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:13:18,302,11.00,18.01,17.04,17.50,0.50,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:13:31,315,11.00,18.12,17.14,17.62,0.50,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:13:44,328,10.59,18.05,17.08,17.53,0.52,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:13:57,342,10.89,18.12,17.14,17.62,0.51,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:14:11,355,10.85,18.29,17.30,17.76,0.53,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:14:24,369,11.02,18.17,17.19,17.63,0.54,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:14:38,382,10.97,18.28,17.29,17.79,0.50,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:14:51,396,10.99,18.29,17.30,17.77,0.52,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:15:05,410,10.89,18.23,17.25,17.74,0.50,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:15:19,423,10.93,18.51,17.51,17.96,0.55,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:15:32,437,10.77,18.45,17.46,17.92,0.53,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:15:46,450,10.68,18.52,17.52,18.00,0.52,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:15:59,464,10.06,18.19,17.21,17.69,0.50,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:16:13,478,10.59,18.45,17.46,17.90,0.55,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:16:27,492,10.48,18.43,17.44,17.91,0.52,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Dark2,Dark,18:16:41,505,10.60,18.43,17.44,17.94,0.48,31,12,7.85,,,,,,,,,,,,
Hymenena,ccm,High,1,Light,Light,18:00:48,193,10.69,20.96,19.89,20.35,0.61,31,12,7.8,,,,,,,,,,,,
Hymenena,ccm,High,1,Light,Light,18:01:02,207,10.90,20.92,19.85,20.33,0.59,31,12,7.8,,,,,,,,,,,,
Hymenena,ccm,High,1,Light,Light,18:01:16,220,10.84,20.67,19.60,20.06,0.61,31,12,7.81,,,,,,,,,,,,
Hymenena,ccm,High,1,Light,Light,18:01:29,234,10.71,20.55,19.49,19.96,0.59,31,12,7.81,,,,,,,,,,,,
Hymenena,ccm,High,1,Light,Light,18:01:43,247,10.97,20.47,19.41,19.90,0.57,31,12,7.81,,,,,,,,,,,,
Hymenena,ccm,High,1,Light,Light,18:01:56,261,10.83,20.35,19.30,19.78,0.57,31,12,7.81,,,,,,,,,,,,
Hymenena,ccm,High,1,Light,Light,18:02:10,275,10.95,20.23,19.17,19.63,0.61,31,12,7.82,,,,,,,,,,,,
Hymenena,ccm,High,1,Light,Light,18:02:24,288,10.89,19.95,18.91,19.36,0.59,31,12,7.82,,,,,,,gonna give this one a bit more time,,,,,
Hymenena,ccm,High,1,Light,Light,18:02:37,302,10.63,20.15,19.10,19.59,0.56,31,12,7.82,,,,,,,,,,,,
Hymenena,ccm,High,1,Light,Light,18:02:51,315,11.38,20.07,19.02,19.48,0.59,31,12,7.82,,,,,,,,,,,,
Hymenena,ccm,High,1,Light,Light,18:03:04,328,11.31,19.88,18.84,19.31,0.56,31,12,7.82,,,,,,,,,,,,
Hymenena,ccm,High,1,Light,Light,18:03:17,342,11.19,19.87,18.83,19.32,0.55,31,12,7.82,,,,,,,,,,,,
