number,genus,metabolism,treatment,rep,run1,run2,seconds,O2_mM,HCO3,HCO3_mM,CO2_mM,DIC_mM,CO2_12_mM,CO2_13_mM,salinity,temperature,pH,K1a,K2a,K1b,K2b,K1,K2,H,K1_HCO3,K2_HCO3
1,Hymenena,nonccm,High,1,Dark1,Dark,385,9.646467904,21.04040973,417.77,22.18600728,439.96,21.585813,0.600194288,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
2,Hymenena,nonccm,High,1,Dark1,Dark,371,9.548807425,20.981052,416.59,22.12341774,438.72,21.49461509,0.628802657,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
3,Hymenena,nonccm,High,1,Dark1,Dark,357,9.634599662,20.87488638,414.48,22.01147163,436.50,21.40900591,0.602465726,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
4,Hymenena,nonccm,High,1,Dark1,Dark,343,9.950623164,21.13283866,419.61,22.28346843,441.89,21.66443626,0.619032167,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
5,Hymenena,nonccm,High,1,Dark1,Dark,330,10.01059566,20.90611522,415.10,22.04439865,437.15,21.4510484,0.593350248,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
6,Hymenena,nonccm,High,1,Dark1,Dark,316,9.865525345,20.9561162,416.10,22.09712452,438.19,21.51277846,0.58434606,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
7,Hymenena,nonccm,High,1,Dark1,Dark,303,9.75807988,21.09724196,418.90,22.24593421,441.14,21.60969212,0.636242095,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
8,Hymenena,nonccm,High,1,Dark1,Dark,289,9.737815488,21.06511265,418.26,22.2120544,440.47,21.56752261,0.644531787,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
9,Hymenena,nonccm,High,1,Dark1,Dark,275,10.17523595,21.10801671,419.11,22.25729406,441.37,21.62086958,0.636424482,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
10,Hymenena,nonccm,High,1,Dark1,Dark,261,9.896900431,21.35427996,424.00,22.51696542,446.52,21.89319314,0.623772282,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
11,Hymenena,nonccm,High,1,Dark1,Dark,247,9.510425027,20.8344664,413.68,21.96884923,435.65,21.35985049,0.608998746,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
12,Hymenena,nonccm,High,1,Dark1,Dark,233,9.841094443,20.69025795,410.82,21.81678906,432.63,21.20120677,0.615582284,31,12,7.81,8.17543E-07,5.71791E-10,7.87754E-07,4.75501E-10,8.02648E-07,5.23646E-10,1.55E-08,1.93E-02,3.38E-02
