number,genus,metabolism,treatment,rep,run1,run2,seconds,gas_id,gas_mM
1,Opuntiella,nonccm,High,1,Dark1,Dark,138,O2,9.887809863
2,Opuntiella,nonccm,High,1,Dark1,Dark,152,O2,9.782510782
3,Opuntiella,nonccm,High,1,Dark1,Dark,165,O2,10.06848491
4,Opuntiella,nonccm,High,1,Dark1,Dark,178,O2,9.849427464
5,Opuntiella,nonccm,High,1,Dark1,Dark,191,O2,9.618186137
6,Opuntiella,nonccm,High,1,Dark1,Dark,205,O2,9.426716045
7,Opuntiella,nonccm,High,1,Dark1,Dark,219,O2,9.603918995
8,Opuntiella,nonccm,High,1,Dark1,Dark,232,O2,9.599752485
9,Opuntiella,nonccm,High,1,Dark1,Dark,246,O2,9.868997437
10,Opuntiella,nonccm,High,1,Dark1,Dark,259,O2,9.337451716
11,Opuntiella,nonccm,High,1,Dark1,Dark,273,O2,9.162332021
12,Opuntiella,nonccm,High,1,Dark1,Dark,287,O2,9.65271767
13,Opuntiella,nonccm,High,1,Dark1,Dark,301,O2,9.17975561
14,Opuntiella,nonccm,High,1,Dark1,Dark,315,O2,9.498556785
15,Opuntiella,nonccm,High,1,Dark1,Dark,329,O2,9.552279517
16,Opuntiella,nonccm,High,1,Dark1,Dark,343,O2,8.961455716
17,Opuntiella,nonccm,High,1,Dark1,Dark,357,O2,9.322111382
18,Opuntiella,nonccm,High,1,Dark1,Dark,371,O2,9.250270642
19,Opuntiella,nonccm,High,1,Dark1,Dark,384,O2,9.283728983
20,Opuntiella,nonccm,High,1,Dark1,Dark,398,O2,9.317881743
21,Opuntiella,nonccm,High,1,Dark1,Dark,411,O2,9.051414463
22,Opuntiella,nonccm,High,1,Dark1,Dark,425,O2,9.075845365
23,Opuntiella,nonccm,High,1,Dark1,Dark,439,O2,9.392563285
24,Opuntiella,nonccm,High,1,Dark1,Dark,452,O2,9.463709607
25,Opuntiella,nonccm,High,1,Dark1,Dark,466,O2,9.25096506
26,Opuntiella,nonccm,High,1,Dark1,Dark,480,O2,9.123949622
27,Opuntiella,nonccm,High,1,Dark1,Dark,493,O2,8.784252766
28,Opuntiella,nonccm,High,1,Dark1,Dark,507,O2,9.123255203
29,Opuntiella,nonccm,High,1,Dark1,Dark,521,O2,8.927934246
30,Opuntiella,nonccm,High,1,Dark1,Dark,535,O2,8.863416464
31,Opuntiella,nonccm,High,1,Dark1,Dark,549,O2,8.945420964
32,Opuntiella,nonccm,High,1,Dark1,Dark,563,O2,8.910510657
33,Opuntiella,nonccm,High,1,Dark1,Dark,576,O2,8.914677167
34,Opuntiella,nonccm,High,1,Dark1,Dark,590,O2,8.748711169
35,Opuntiella,nonccm,High,1,Dark1,Dark,604,O2,8.582682043
36,Opuntiella,nonccm,High,1,Dark1,Dark,617,O2,8.281998875
37,Opuntiella,nonccm,High,1,Dark1,Dark,630,O2,8.785641603
38,Opuntiella,nonccm,High,1,Light1,Light,193,O2,9.972213263
39,Opuntiella,nonccm,High,1,Light1,Light,206,O2,10.15219389
40,Opuntiella,nonccm,High,1,Light1,Light,220,O2,10.72698294
41,Opuntiella,nonccm,High,1,Light1,Light,234,O2,10.48425214
42,Opuntiella,nonccm,High,1,Light1,Light,248,O2,10.52541221
43,Opuntiella,nonccm,High,1,Light1,Light,262,O2,11.0032352
44,Opuntiella,nonccm,High,1,Light1,Light,276,O2,10.88183824
45,Opuntiella,nonccm,High,1,Light1,Light,290,O2,10.67610101
46,Opuntiella,nonccm,High,1,Light1,Light,304,O2,11.16086818
47,Opuntiella,nonccm,High,1,Light1,Light,317,O2,11.60106632
48,Opuntiella,nonccm,High,1,Light1,Light,331,O2,11.38131446
49,Opuntiella,nonccm,High,1,Light1,Light,345,O2,11.25436215
50,Opuntiella,nonccm,High,1,Light1,Light,359,O2,11.05418026
51,Opuntiella,nonccm,High,1,Light1,Light,372,O2,11.20202825
52,Opuntiella,nonccm,High,1,Light1,Light,386,O2,11.91986749
53,Opuntiella,nonccm,High,1,Light1,Light,400,O2,11.40505094
54,Opuntiella,nonccm,High,1,Light1,Light,413,O2,11.83824177
55,Opuntiella,nonccm,High,1,Light1,Light,427,O2,12.50166385
56,Opuntiella,nonccm,High,1,Light1,Light,440,O2,11.94076317
57,Opuntiella,nonccm,High,1,Light1,Light,454,O2,12.16120945
58,Opuntiella,nonccm,High,1,Light1,Light,467,O2,12.36978749
59,Opuntiella,nonccm,High,1,Light1,Light,481,O2,12.59023376
60,Opuntiella,nonccm,High,1,Light1,Light,494,O2,11.86058941
61,Opuntiella,nonccm,High,1,Light1,Light,508,O2,12.722047
62,Opuntiella,nonccm,High,1,Light1,Light,522,O2,12.49882305
63,Opuntiella,nonccm,High,1,Light1,Light,536,O2,12.81345772
64,Opuntiella,nonccm,High,1,Light1,Light,549,O2,12.49503531
65,Opuntiella,nonccm,High,1,Light1,Light,563,O2,12.68372773
66,Opuntiella,nonccm,High,1,Light1,Light,576,O2,12.98295893
67,Opuntiella,nonccm,High,1,Light1,Light,589,O2,12.7283599
68,Opuntiella,nonccm,High,1,Light1,Light,603,O2,13.12386274
69,Opuntiella,nonccm,High,1,Light1,Light,616,O2,12.86055191
70,Opuntiella,nonccm,High,1,Dark2,Dark,193,O2,11.42455778
71,Opuntiella,nonccm,High,1,Dark2,Dark,207,O2,11.49292643
72,Opuntiella,nonccm,High,1,Dark2,Dark,220,O2,11.22298706
73,Opuntiella,nonccm,High,1,Dark2,Dark,234,O2,11.08624977
74,Opuntiella,nonccm,High,1,Dark2,Dark,248,O2,11.54526033
75,Opuntiella,nonccm,High,1,Dark2,Dark,261,O2,11.41830802
76,Opuntiella,nonccm,High,1,Dark2,Dark,275,O2,11.21812613
77,Opuntiella,nonccm,High,1,Dark2,Dark,288,O2,11.30947372
78,Opuntiella,nonccm,High,1,Dark2,Dark,302,O2,11.60946247
79,Opuntiella,nonccm,High,1,Dark2,Dark,315,O2,11.55643415
80,Opuntiella,nonccm,High,1,Dark2,Dark,329,O2,11.63736546
81,Opuntiella,nonccm,High,1,Dark2,Dark,342,O2,11.9163954
82,Opuntiella,nonccm,High,1,Dark2,Dark,356,O2,11.81033877
83,Opuntiella,nonccm,High,1,Dark2,Dark,370,O2,11.87870742
84,Opuntiella,nonccm,High,1,Dark2,Dark,384,O2,12.0823614
85,Opuntiella,nonccm,High,1,Dark2,Dark,398,O2,12.32168323
86,Opuntiella,nonccm,High,1,Dark2,Dark,411,O2,11.66457404
87,Opuntiella,nonccm,High,1,Dark2,Dark,426,O2,11.56476717
88,Opuntiella,nonccm,High,1,Dark2,Dark,439,O2,11.79013751
89,Opuntiella,nonccm,High,1,Dark2,Dark,453,O2,12.01336146
90,Opuntiella,nonccm,High,1,Dark2,Dark,467,O2,11.71128946
91,Opuntiella,nonccm,High,1,Dark2,Dark,481,O2,11.68755297
92,Opuntiella,nonccm,High,1,Dark2,Dark,495,O2,11.6143234
93,Opuntiella,nonccm,High,1,Dark2,Dark,509,O2,11.38832177
94,Opuntiella,nonccm,High,1,Dark2,Dark,522,O2,11.43712045
95,Opuntiella,nonccm,High,1,Dark2,Dark,536,O2,10.71587224
96,Opuntiella,nonccm,High,1,Dark2,Dark,550,O2,10.86302581
97,Opuntiella,nonccm,High,1,Dark2,Dark,564,O2,10.73815676
98,Opuntiella,nonccm,High,1,Dark2,Dark,577,O2,10.95582536
99,Opuntiella,nonccm,High,1,Dark2,Dark,592,O2,11.21320208
100,Opuntiella,nonccm,High,1,Dark2,Dark,605,O2,11.13018751
101,Opuntiella,nonccm,High,1,Dark2,Dark,619,O2,10.74863616
102,Opuntiella,nonccm,High,1,Dark2,Dark,632,O2,11.18113257
103,Plocamium,nonccm,Low,1,Dark1,Dark,383,O2,8.805905994
104,Plocamium,nonccm,Low,1,Dark1,Dark,397,O2,8.52056316
105,Plocamium,nonccm,Low,1,Dark1,Dark,411,O2,8.725669104
106,Plocamium,nonccm,Low,1,Dark1,Dark,423,O2,8.671251953
107,Plocamium,nonccm,Low,1,Dark1,Dark,436,O2,9.038851803
108,Plocamium,nonccm,Low,1,Dark1,Dark,450,O2,8.314762798
109,Plocamium,nonccm,Low,1,Dark1,Dark,463,O2,8.16552597
110,Plocamium,nonccm,Low,1,Dark1,Dark,477,O2,8.660772548
111,Plocamium,nonccm,Low,1,Dark1,Dark,491,O2,8.482938309
112,Plocamium,nonccm,Low,1,Dark1,Dark,505,O2,8.930775048
113,Plocamium,nonccm,Low,1,Dark1,Dark,518,O2,8.623147697
114,Plocamium,nonccm,Low,1,Dark1,Dark,532,O2,8.665002188
115,Plocamium,nonccm,Low,1,Dark1,Dark,545,O2,8.864489656
116,Plocamium,nonccm,Low,1,Dark1,Dark,559,O2,9.257909244
117,Plocamium,nonccm,Low,1,Dark1,Dark,572,O2,8.464757172
118,Plocamium,nonccm,Low,1,Dark1,Dark,585,O2,8.537292331
119,Plocamium,nonccm,Low,1,Dark1,Dark,599,O2,8.291089443
120,Plocamium,nonccm,Low,1,Dark1,Dark,613,O2,8.476625414
121,Plocamium,nonccm,Low,1,Dark1,Dark,626,O2,8.757738609
122,Plocamium,nonccm,Low,1,Dark1,Dark,639,O2,8.869350584
123,Plocamium,nonccm,Low,1,Light1,Light,191,O2,9.112144509
124,Plocamium,nonccm,Low,1,Light1,Light,204,O2,8.798204263
125,Plocamium,nonccm,Low,1,Light1,Light,218,O2,9.020733796
126,Plocamium,nonccm,Low,1,Light1,Light,231,O2,8.771690106
127,Plocamium,nonccm,Low,1,Light1,Light,246,O2,8.764745922
128,Plocamium,nonccm,Low,1,Light1,Light,259,O2,8.895170323
129,Plocamium,nonccm,Low,1,Light1,Light,273,O2,9.566231014
130,Plocamium,nonccm,Low,1,Light1,Light,286,O2,9.386250391
131,Plocamium,nonccm,Low,1,Light1,Light,300,O2,9.329055566
132,Plocamium,nonccm,Low,1,Light1,Light,313,O2,9.25096506
133,Plocamium,nonccm,Low,1,Light1,Light,327,O2,9.44975811
134,Plocamium,nonccm,Low,1,Light1,Light,341,O2,9.172811426
135,Plocamium,nonccm,Low,1,Light1,Light,354,O2,9.269777486
136,Plocamium,nonccm,Low,1,Light1,Light,367,O2,9.492307019
137,Plocamium,nonccm,Low,1,Light1,Light,381,O2,9.336757297
138,Plocamium,nonccm,Low,1,Light1,Light,395,O2,9.654864054
139,Plocamium,nonccm,Low,1,Light1,Light,408,O2,9.392563285
140,Plocamium,nonccm,Low,1,Light1,Light,422,O2,9.04863679
141,Plocamium,nonccm,Low,1,Light1,Light,436,O2,9.292819551
